Name	Status	Cases	Cases	Cases	Cases	Cases	Cases	Cases	Cases	Cases
		count	count	count	count	count	count	count	count	incomplete
		28.02.2020	06.03.2020	13.03.2020	20.03.2020	27.03.2020	03.04.2020	10.04.2020	17.04.2020	22.04.2020
Gera	County-level City	0	0	1	4	8	31	48	79	104
Gotha	County	0	0	0	4	20	34	58	108	135
Greiz	County	0	0	0	22	94	157	225	285	330
Hildburghausen	County	0	0	0	0	6	10	13	16	18
Ilm-Kreis	County	0	0	1	4	39	74	102	107	119
Jena	County-level City	0	0	0	39	95	130	154	155	155
Kyffh?userkreis	County	0	0	5	10	17	25	35	35	36
Nordhausen	County	0	0	0	2	9	20	29	44	53
Saale-Holzland-Kreis	County	0	0	3	13	21	35	49	50	51
Saale-Orla-Kreis	County	0	1	3	6	11	50	85	100	112
Saalfeld-Rudolstadt	County	0	0	5	12	33	48	54	54	55
Schmalkalden-Meiningen	County	0	0	1	11	27	34	53	70	75
S?mmerda	County	0	0	0	2	19	28	32	33	36
Sonneberg	County	0	0	0	0	14	33	47	55	61
Suhl	County-level City	0	0	0	1	5	8	11	12	13
Unstrut-Hainich-Kreis	County	0	0	0	5	10	26	47	61	65
Wartburgkreis	County	0	0	0	8	15	28	32	33	37
Weimar	County-level City	0	0	1	7	23	38	55	58	59
Weimarer Land	County	0	0	0	6	17	30	57	64	67
Deutschland [Germany]	Federal Republic	60	621	3,679	19,884	49,335	86,095	118,136	136,823	145,694
